Angle,Realized Gain
-179.446781,-16.64053893
-179.0283138,-17.1434639
-178.3435492,-17.63301321
-177.925082,-18.15733925
-177.4381384,-18.76084922
-177.1642326,-19.45388697
-176.6772889,-19.99997075
-166.0973312,-19.91514472
-165.6823224,-19.18361748
-165.2396463,-18.32562942
-165.1428109,-17.71861746
-164.769303,-17.04156566
-164.1080556,-16.24622435
-163.7732819,-15.57851119
-163.1646023,-14.98570175
-162.7080926,-14.41572011
-161.9726048,-13.87177643
-159.5632481,-13.78438876
-158.6755904,-14.34527495
-158.0288684,-14.86425072
-157.4497774,-15.5119301
-157.0343294,-16.10742317
-156.5299949,-16.75128943
-156.3169571,-17.34053202
-155.961894,-17.91598282
-155.4800226,-18.54255838
-155.4039377,-19.07045126
-155.2517678,-20.05668357
-154.977862,-19.71961683
-143.1718193,-19.92457316
-142.7738365,-19.2503221
-142.4314542,-18.70306635
-142.2031994,-18.11186199
-142.012987,-17.59734477
-141.3130055,-16.9824209
-141.2521375,-16.57366061
-140.552156,-16.05789499
-139.9586934,-15.47150587
-139.121759,-14.93647931
-137.168912,-14.48349014
-134.9624486,-14.73673605
-134.2523224,-15.19329206
-133.5421962,-15.70691756
-132.7686659,-16.26602033
-132.0784668,-17.02002563
-131.3780022,-17.65203638
-130.7355071,-18.32260301
-130.3719901,-18.93312777
-129.8393955,-19.47617974
-129.2814392,-20.00377538
-114.7192415,-19.96962015
-114.1658964,-19.23095923
-113.5572168,-18.34994881
-112.92087,-17.529899
-112.4920275,-16.90537708
-111.7311781,-16.15140118
-111.0464136,-15.44475455
-110.557296,-14.97010955
-110.0573092,-14.48349014
-109.2584173,-13.96540608
-108.6877802,-13.46592057
-107.8085764,-12.96520364
-106.8617415,-12.35230098
-105.6443823,-11.78784795
-104.291761,-11.28403126
-102.877657,-10.79634644
-101.2010214,-10.30742943
-99.10107686,-9.77347292
-96.36201876,-9.307999805
-93.16645099,-8.883869653
-90.36652493,-8.601764735
-86.47097564,-8.294367652
-83.12323797,-8.177634582
-79.7755003,-8.284639896
-76.88427231,-8.668643056
-74.74218842,-9.275075093
-73.38436475,-9.8277399
-72.31917549,-10.28174816
-71.61919397,-10.83603568
-70.8192151,-11.40224666
-70.0061931,-12.03021499
-69.4279475,-12.63854019
-68.97143781,-13.15305741
-68.44729707,-13.7356419
-68.00769515,-14.40383063
-67.57147479,-15.1397894
-67.02366317,-15.92734851
-66.8410593,-16.57901087
-66.55055313,-17.34118054
-66.15629477,-18.03428314
-65.92803993,-18.67096475
-65.69978509,-19.30764637
-65.58565767,-19.89082533
-61.09371945,-19.88177103
-60.75426353,-19.25236029
-60.57442638,-18.62329875
-60.46683151,-17.85891332
-60.29775385,-17.3547994
-60.01877571,-16.78767123
-59.73255138,-16.07379293
-59.47603642,-15.40944279
-59.01952674,-14.68180666
-58.81953202,-14.04680655
-58.62388501,-13.11738897
-58.47171512,-13.43364912
-57.96448214,-12.60851926
-57.48261081,-11.98580778
-57.11909384,-11.35536814
-56.40220456,-10.65412665
-55.69461455,-9.974107883
-55.0478925,-9.420355384
-54.05878819,-8.866602886
-52.38491935,-8.362461942
-49.95020104,-8.607115
-49.18935157,-9.083288646
-48.580672,-9.516660167
-47.857865,-10.08646346
-47.66765263,-10.60633094
-47.09701553,-11.12441501
-46.81984894,-11.71103342
-46.29812358,-12.45038918
-46.14595369,-13.11025529
-45.78074594,-13.74658022
-45.47640616,-14.52985911
-45.16376619,-15.35671836
-45.03728732,-16.7188821
-44.92859454,-16.16169015
-44.62425475,-17.40116836
-44.13392953,-18.23462086
-43.99383662,-18.79172789
-43.99383662,-19.26255127
-41.12434718,-17.4917662
-41.12434718,-17.96258958
-41.12434718,-18.43341296
-41.12434718,-18.90423634
-41.12434718,-19.35365866
-40.97217729,-16.36179008
-40.86348451,-17.01543969
-40.60696954,-15.25504941
-40.51566761,-14.82947399
-40.43958266,-15.78182128
-40.31277441,-14.32536007
-40.02872395,-13.72517915
-39.90698803,-13.07637027
-39.8200338,-12.34083612
-39.3236701,-11.61753116
-39.03744578,-10.91307951
-38.73310599,-10.33830811
-38.38528909,-9.697499147
-38.38528909,-9.35080193
-37.85961127,-8.852740834
-37.22879789,-8.062457953
-36.52120788,-7.405980354
-35.81530865,-6.820720735
-33.86366938,-6.293284613
-32.12381986,-6.622166431
-31.64633663,-7.125091405
-31.08113417,-7.641774206
-30.77679438,-8.137055944
-30.42897748,-8.672082512
-30.08116058,-9.197937197
-29.55943523,-9.940321946
-29.38552678,-10.66849594
-29.25509544,-11.26084678
-28.79858576,-11.95745137
-28.79858576,-12.59662978
-28.42507783,-13.25746866
-28.18990618,-14.62259705
-28.11382123,-14.09113733
-27.7333965,-15.56186592
-27.71165794,-16.36729321
-27.5305033,-18.40582937
-27.44807795,-17.27454541
-27.27688681,-19.33926158
-26.96359586,-19.94432799
-25.22259324,-19.64471311
-24.84216851,-16.19914201
-24.84216851,-16.96958027
-24.84216851,-17.85415753
-24.84216851,-18.79580429
-24.68999861,-14.64221469
-24.68999861,-15.55175986
-24.50739474,-13.65669575
-24.23348893,-12.71790247
-24.1643208,-12.05900914
-24.08131904,-11.53371033
-23.85998101,-11.06677805
-23.55564122,-10.17960672
-23.12147817,-9.275075093
-22.78787494,-8.489409155
-22.73352855,-7.926102611
-22.22146477,-7.31770097
-21.73790267,-6.622166431
-21.10555222,-5.898097142
-20.43781582,-5.324727002
-18.58820047,-5.12896489
-17.76162532,-5.633899656
-17.48729029,-6.147776207
-17.01387284,-6.953882904
-16.70107917,-7.59056452
-16.38152239,-8.280748793
-15.82610228,-9.727995661
-15.80881025,-9.093989178
-15.71197486,-10.50289247
-15.44335599,-12.48119374
-15.40990877,-11.47339824
-15.26898492,-13.36432431
-15.08079171,-14.02596136
-14.67721958,-15.5827914
-14.09897398,-16.69136645
-13.83521283,-17.27395094
-13.25823531,-14.95788037
-12.7982433,-13.17340351
-12.72680146,-8.8970994
-12.72680146,-9.367922781
-12.72680146,-9.838746161
-12.66857697,-8.434123076
-12.66857697,-11.29010999
-12.57463157,-12.21854434
-12.51640708,-7.205345391
-12.50546343,-7.798252106
-12.36423719,-5.627017014
-12.32851627,-6.661401713
-12.29506905,-6.121187008
-12.0598974,-4.756707129
-12.0598974,-5.216829978
-11.852393,-4.101704906
-11.76484383,-3.677661426
-11.68638948,-3.214533577
-11.45121782,-2.520296072
-11.36667899,-1.960301597
-11.09615473,-0.562098832
-11.0777099,-1.181432617
-10.6627011,-0.086087315
-10.54748468,0.421295093
-10.38602856,0.939542404
-10.23385867,1.620809568
-10.03275051,1.988596437
-9.860350746,2.40810927
-9.442575218,3.226602642
-9.320839303,3.775183217
-8.808995114,4.45677464
-8.712159726,5.080648044
-8.299127157,5.617712809
-7.951310256,6.246292595
-7.785923012,6.611225989
-7.494800573,7.07023351
-6.733951102,7.875270154
-6.294349186,8.647491834
-5.488924695,9.377073519
-4.951389485,9.989644198
-4.261190322,10.54416102
-3.614468272,11.04441086
-2.777533854,11.54580719
-1.695436829,12.03837133
0.74952039,12.4674814
3.765771595,11.79612319
4.983130748,10.9088708
6.183582136,9.933933495
6.809169478,9.313599912
7.417849055,8.69029396
7.843924759,8.011880271
8.309129864,7.412344785
8.526515427,6.862031743
8.961286553,6.385093773
